Question,Answer,Analyst,Respondent,quarter,ratio,GPT-4o_question_sentiment,GPT-4o_question_confidence,GPT-4o_answer_sentiment,GPT-4o_answer_confidence
"That's helpful. And just double-clicking on something, Jamie, that you mentioned. You've talked about Venmo, Square, banks leaving the ground open for fintechs over the last few years. Just talk to us, to the extent you can, how these investments, clearly the market is focused on near-term expenses, ROTCE pressures, but talk to us two years or three years fast-forward, how do you feel about JPM as a franchise competing with big tech, fintech head-to-head?","Great. But it's battle engaged. I mean some of these people do a very good job. I think there's certain things we or banks should have done, so we should be a little self-critical, but we have the capability, the economies of scale and all these things. What we're not going to do is hamstring ourselves to meet an overhead target. That's just not even on the cards, so. And we have assets and strength. Look, competition is very bright. I mean they're bobbing and weaving. They're not changing, and they're not static. And I think sometimes people act like they're static, but they're not static, so. But if we do a good job like today on Consumer, I'm sure that’s all you Chase customers, free trading, lot of ATMs. You've got better and better service and more navigation bars, more offers, more travel, more rewards, more – and you've got more of that coming. And we've gotten friendlier in overdraft. We've gotten – and that's just one business. That's true for every single business. So I can look at it the other way around, too. If you're competing with JPMorgan, that could be pretty tough competition. Like take Chase UK. We've been very, very clear. And that costs us money, and a lot of you want payback tomorrow and stuff like that, we're not ready to disclose those numbers, but we are there for the long run. We're going to be adding products and services and countries for the rest of our lives. Okay? So I doubt, over the long run, we'll fail. We may not become the best digital bank in the UK or somewhere in the short run.",Ebrahim Poonawala,Jamie Dimon,2021Q4,19%,negative,0.52,positive,0.740735
"Well, that's what I'm trying to figure out here. It's a little frustrating, this call, because the guidance you've given has given all the bad news without any targets. I mean you're saying we have to wait two years for the 17% ROTCE despite the booming economy. You're guiding for the second year in a row of negative operating leverage. I get it, that's not how you run the company. But $15 billion of investments, that's up one- half over the last three years, and that $15 billion is enough to capitalize the 11th largest US bank. So I mean you gave us that, but you didn't tell us what to expect from all this investment in terms of what specific market share gains are you targeting, what specific revenues do you expect, when do you expect that. Can you put some more meat on the bones here because just at $5 billion of investment spend, look, it worked, you gained share. At $10 billion of investment spend, it worked, you gained share. But now you're going to $15 billion, and it might not always work so well. So can you, again, put more meat on the bones? The stock's down 5%. The feedback so far is like you're spending the rate hikes for investments over the next 10 years. That's great. You're in there for the long-term, but a lot of the investors aren't planning to invest in a 10-year horizon.","Michael, I feel your pain and your frustration. It is very possible in 2023 we'll have a 17% ROTCE. It depends on how we deploy our capital; it depends on fixed income markets; it depends on a bunch of stuff like that. So with the 400 branches that we're building, those things will get to contribution profitability just like we expect. The thousands of bankers we're adding in private banking and Chase Wealth Management we're pretty sure we'll get to breakeven just as we expect, but that takes a couple of years. And so, yeah, we're not going to tell you all of those things. And we already mentioned some of the tech stuff is just, kind of we have to do it and there's a little bit of bubble expense in that. There's even a little bit of bubble expense in the new headquarters and so we're pretty comfortable we're doing the right things, and we're being a little conservative. Like Jeremy was talking about the card stuff, the return. I told our folks that we're going to have card growth this year, but they were skeptical. The American consumer is very strong. Our products and services are very good. Chase, we call it now self-directed investing, has $55 billion. I think Robin Hood has $80 billion the last time I saw it or something like that. We're not sitting here bragging about our product because I would tell it's not good enough yet, but we've got $55 billion without us doing virtually anything or no marketing and no real stuff like that. So there's a lot of stuff coming. You know the competition we have to face. Some of these acquisitions we made will contribute to profit, maybe not exactly in 2022, but – and I mentioned the deployment of the balance sheet. We're pretty conservative with the deployment of the balance sheet. That may not always be true.",Mike Mayo,Jamie Dimon,2021Q4,19%,negative,0.535262,positive,0.623246
Management Commentary,"Adjusting for this, we delivered a 17% ROTCE this quarter.",Management Commentary,Jeremy Barnum,2021Q4,19%,neutral,1.0,neutral,1.0
Management Commentary,"As you'll remember from Daniel's comments in December, the 17% that we have talked about as a medium-term ROTCE target is not realistic for 2022.",Management Commentary,Jeremy Barnum,2021Q4,19%,neutral,1.0,negative,0.583333
Management Commentary,"Assuming we realize the forward curve, from there, we see the outcomes as being relatively symmetric, with plus or minus 175 basis points of ROTCE impact as a reasonable range relative to our central case.",Management Commentary,Jeremy Barnum,2021Q4,19%,neutral,1.0,positive,0.52
Management Commentary,"5With that in mind, any recalibration could be a tailwind, and each 1% change in the CET1 level is worth about 150 basis points of ROTCE.",Management Commentary,Jeremy Barnum,2021Q4,19%,neutral,1.0,positive,0.8
Management Commentary,We delivered a return on tangible common equity of 23% or 18% excluding the reserve releases.,Management Commentary,Jeremy Barnum,2021Q4,19%,neutral,1.0,negative,0.8
Management Commentary,"However, despite these potential challenges for the near-term outlook, we do continue to believe in 17% ROTCE as our central case for the medium term, as rates continue to move higher and we realize business growth driven by our investments.",Management Commentary,Jeremy Barnum,2021Q4,19%,neutral,1.0,positive,0.583333
Management Commentary,3 billion and delivered an ROTCE of 19%.,Management Commentary,Jeremy Barnum,2021Q4,19%,neutral,1.0,neutral,1.0
Management Commentary,6 billion and delivered an ROTCE of 16%.,Management Commentary,Jeremy Barnum,2022Q1,16%,neutral,1.0,neutral,1.0
"Okay. And then just the follow up here is on the NII outlook where you indicated the curve suggests the plus side, and is it a couple of billion. And I guess the question I have is, historically you've been looking to reinvest that benefit from rising rates. You did that last cycle as well. What I'm hearing is that maybe you don't want to size it for us right now today because you plan on investing it and explaining that at Investor Day. Is that a fair take away?","No, no, no. No. We don't look at it that way, like we're reinvesting NII. The investing stuff we look at all the time. We're investing a lot of money for the future kind of across the board. But that's not why he's saying – Yeah. I mean, I think fundamentally, we have had confidence in delivering our 17% ROTCE through the cycle. We've talked a little bit over the last couple of quarters about, at the time, some short-term headwinds to that mostly as a function of the rate environment and a couple of other things. The investment plan is a strategic plan that recognizes that sort of confidence in the 17%. The fact that that moment may be getting pulled forward as a result of the Fed's reaction to the economy has no impact on how we think about spending.",Betsy L. Graseck,"Jamie Dimon, Jeremy Barnum",2022Q1,16%,positive,0.797143,positive,0.567857
Management Commentary,6 billion and delivered an ROTCE of 17%.,Management Commentary,Jeremy Barnum,2022Q2,17%,neutral,1.0,neutral,1.0
"Yeah, hey, guys. Good morning. Just a follow up on the points about managing the balance sheet and capital and RWAs. How do you think about your ability to manage that RWA output and dimensionalizing how, if at all, it might impact either the net income outcome or the ROTCE outcome as you look forward?","Just very roughly, we have a tremendous ability to manage it. And I can think we do it without affecting our ROTCE targets and stuff like that. Obviously, it'll affect NII a little bit and capital generation a little bit and stuff like that. But all told, we're going to manage the hell out of it, and we'll be fine.",Ken Usdin,Jamie Dimon,2022Q2,17%,positive,0.85,positive,0.540833
Management Commentary,"5 billion, and delivered an ROTCE of 18%.",Management Commentary,Jeremy Barnum,2022Q3,18%,neutral,1.0,neutral,1.0
"Well, good morning. I agree with Ebrahim that your presentation this morning was quite crisp and impactful. So, I'm going to ask the question that I think has been sort of the key debate to the stock all year. So, at Investor Day in May, you mentioned a ROTCE target of 17% and that was before we found out that the SCB would be higher in June. As we think about your capital build going faster than expected and you think about the revenue power that shows through in this firm, plus or minus what may happen with CECL, do you think you can achieve 17% ROTCE next year?","Yeah, this is obviously a good question. The answer is yes. And one of the things we always look at is normalized ROTCE. So, we're very honest. We're not overearning on NII, maybe a little bit because of lags and stuff like that, but not a lot, but we are overearning on credit. Think of credit card, the 1.5%, we've never seen a number that low. We're quite conscious of that. So, we don't brag about the 19% this quarter thinking that's going to continue forever. It's not. And obviously we may adjust that 17% a little bit, but it's not a material adjustment. We're going to find – we've got a lot of great bright people, and we're going to find a lot of ways to squeeze some of these things down, including like CCAR and SCB and liquidate some assets and change business models just a little bit. If you look at our acquisitions, for example, they were non-G-SIFI acquisitions. Non-capital, non-G-SIFI, all services and service-related. So, that's what we're going to do over time, and we're pretty comfortable that we'll get very good returns. So, yeah, we're quite – and next year is totally dependent on what happens in the environment. But the other thing I would look at, maybe we'll give you this number another time, is what would we earn in a recession. We would have pretty damn good returns in a recession. I mean, so I feel very good about that.",Erika Najarian,Jamie Dimon,2022Q3,18%,positive,0.6,positive,0.754497
Management Commentary,"So as we look forward, we expect to continue to produce strong returns in the near term and we remain confident in our ability to deliver on our through-the- cycle target of 17% ROTCE.",Management Commentary,Jeremy Barnum,2022Q4,20%,neutral,1.0,positive,0.844444
Management Commentary,"3 billion, and we delivered an ROTCE of 18%.",Management Commentary,Jeremy Barnum,2022Q4,20%,neutral,1.0,neutral,1.0
Management Commentary,6 billion and delivered an ROTCE of 20%.,Management Commentary,Jeremy Barnum,2022Q4,20%,neutral,1.0,neutral,1.0
"Okay. And part of the reason for asking is one of the debate points on JPMorgan's stock has been around the capital charges, the capital margin, will capital be a bigger burden for you to bear as we go through the next couple of years. As you deliver on the positive operating leverage side, it gives you room to absorb some more capital, obviously, and still hit those IRR and ROTCE targets on incremental investments. Maybe you could help us understand what level of capital increase you could absorb given the operating leverage you're expecting to generate. And maybe that's an unfair question today and it's a better question for Investor Day, but that's kind of the debate that's out there on the stock.","I get it. I get it. I mean it's a fair question, it's a good question. I'm not going to answer it super specifically, and Jamie may have some views here, too. But let me just quickly say we've kind of said that we feel quite confident about this company's ability to generate 17% through the cycle, and that's incorporating our sense of the current environment, the operating leverage that you talked about, and the expectation of higher capital requirements with the 13.5% target in the first quarter of 2024. The question of whether Basel III end game and other factors increase that number and how much of that we can absorb and still produce those returns is, of course, impossible to answer right now, but I would remind you that it's not just denominator expansion. Unreasonable capital outcomes will increase costs into the real economy which goes into the numerator, too. It's not what we want, but that is a possible outcome.",Betsy L. Graseck,Jeremy Barnum,2022Q4,20%,positive,0.70303,positive,0.667542
"And my follow-up is exactly in that line of questioning. Let's zoom out for a second here – to your point, Jamie, the returns are still good. You mentioned that your outlook already captures a mild recession, and I'm going to re-ask the question I asked in the third quarter. As you think about 2023, do you think JPMorgan can hit that 17% ROTCE that you laid out in Investor Day even with the headwind in NII and the headwind in the provision?","Yes, we can. But a lot of factors determine that. But yes, we can. I think when we do Investor Day in May, we may give you a more interesting number, which is what do we think our ROTCE will be if we have a real recession. Which, I think even in a real recession, it would probably equal the average industrial company – which is good. So we're going to give you some detail around that, and those are still good returns, and we can still grow. And remember, 17% is very good if you can compound – some growth at 17%. Those are extraordinary numbers. And I also want to point out we don't know exactly what capital needs to be at this point, and we have to modify that at one point. And, Erika, let me just add a very minor clarifying point. I just want to be crystal clear about this. So, as you know and as we discussed a lot through the pandemic, in terms of the way we construct and build the allowance, while it's anchored around our economist central case forecast, which as you correctly say is a mild recession, through the way we weight the different scenarios and a range of other factors, the de facto scenario that's embedded in the forecast is actually more conservative than that from an allowance perspective. So we just want to be 6Jeremy Barnum A Chief Financial Officer, JPMorgan Chase & Co. clear about that.",Erika Najarian,"Jamie Dimon, Jeremy Barnum",2022Q4,20%,positive,0.756667,positive,0.749333
Management Commentary,"We're very proud of the 2022 results, producing an 18% ROTCE and a record revenue in what was a quite dynamic environment.",Management Commentary,Jeremy Barnum,2022Q4,20%,neutral,1.0,positive,1.0
Management Commentary,3 billion and delivered an ROTCE of 23%.,Management Commentary,Jeremy Barnum,2023Q1,23%,neutral,1.0,neutral,1.0
"So, as you think about all of what you've just told us – so $81 billion of NII this year, and who knows when medium-term is going to happen of mid-70s, the clear strength of the franchise producing 23% ROTCE in a quarter where your CET1 is 13.8% and a reserve that already reflects 5.8% unemployment. As we think about recession and what JPMorgan can earn in a recession, do you think you can hit 17% ROTCE even in 2024 – assuming we do have a recession in 2024 as everybody is expecting – given all these revenue dynamics and how prepared you are on the reserve?","Yeah. I mean that's an interesting question, Erika. I guess I'll say a couple things. It's a great question, so I want to see how Jeremy answers it. Okay. Let's take a crack. Let's see what the boss thinks. I think number one, we believe, have said, and continue to believe that this is fundamentally a 17% through the cycle ROTCE franchise, so number one. Number two, as Jamie always says, we run this company for all different scenarios and to have it be as resilient as possible across all different scenarios. On the particular question of ROTCE expectations in 2024 contingent on the particular economic outlook, obviously it depends a lot on the nature of the recession. I think we feel really good about how the company is positioned for a recession, but we're a bank. A very serious recession is of course going to be a headwind for returns, but we think even in a fairly severe recession, we'll deliver very good returns – whether that's 17% or not is too much detail for now.",Erika Najarian,"Jamie Dimon, Jeremy Barnum",2023Q1,23%,positive,0.6,positive,0.735147
Management Commentary,"4 billion, and delivered an ROTCE of 25%.",Management Commentary,Jeremy Barnum,2023Q2,25%,neutral,1.0,neutral,1.0
"Okay. That's helpful. And with a number of years for this to phase in and you generating capital at a high level even if the ROTCE comes down a bit, how should we think about your pace of building capital for these new changes versus doing your everyday course of investing and buybacks and things like that over the next couple years?","Yeah. I mean, I guess I'm sort of tempted to give you our standard capital hierarchy here. I mean, we're not going to sacrifice investments, right? That won't come as a surprise to you. Generally speaking, we're always going to try to comply with new requirements early. So when we know the requirements and when we have visibility, obviously given how much organic capital we're generating right now, whatever the answer winds up being it'll be pretty easy to comply, narrowly speaking. But that's not the same as saying that there won't be consequences to returns or to pricing. And if for whatever reason things aren't exactly as we're anticipating, I don't see us sacrificing investments that we see as strategically critical in order to comply with higher capital requirements ahead of the formal timing or whatever.",John McDonald,Jeremy Barnum,2023Q2,25%,positive,0.573468,positive,0.583302
"Hi. Good morning. Jeremy, I'm just laughing to myself because I said to you at Investor Day – do you have any more NII rabbits to pull out of the hat, and I guess you do. So I guess, I want to ask a broader question really here. And maybe, Jamie, I'd like to get your thoughts. So you earned 23% ROTCE on 13.8% CET1, and we hear you loud and clear that you're more normalized NII generation is not $87 billion. That being said, and fully taking into account the potential haircut from Basel III Endgame, is it possible that your natural ROTCE is maybe above that 17% through-the-cycle rate when rates aren't zero? Because when you first introduced that ROTCE target, we were in a different world from a rate scenario and everybody's talking about even if the Fed cuts, the natural sort of bottom in Fed funds is not going to be zero. So any input on that would be great.","Yeah. Thanks, Erika. I mean, it's a good question. There's a lot in there, obviously. I guess I would start by saying that when we talked about the 17% through-the-cycle ROTCE, even though we may have introduced that in a moment when we were at the lower zero bound, it was always premised on a sort of normalized rate environment, and at some level that remains true today. Furthermore, you didn't ask this explicitly, but in the context of the proposed Basel III Endgame, one relevant question might be if you have a lot more capital in the denominator, what happens to that target? So I think as I said in my prepared remarks, we feel very confident about the company's ability to produce excellent returns through the cycle. There's a lot of moving parts right now in that; some of them could be good, some of them could be bad. Narrowly, on the capital one, the one thing to point out is that the straight-up math of simply diluting down the ROTCE by expanding the denominator misses the possibility of reprice, repricing of products and services, which of course goes back to our point that these capital increases do have impacts on the real economy. So we're not suggesting that we can price our way out of it, but we obviously need to get the right returns on products and services, and where we have pricing power we will adjust to the higher capital. So a lot of moving parts in there, but I think the important point is that through a range of scenarios we feel good about our ability to deliver good results. And we'll see how the mix of all the various factors plays out especially after we see the Basel III proposal and then go through the comment period. And Erika, I would just add one thing. We do have a mix of businesses that earn from like 0% ROTCE to 100%. We have some which are very capital-intensive so we look at kind of all of them, and I think 17% is a good number and a good target. The other thing we're over-earning on is credit. We've been over-earning on credit for a substantial amount of time now, we're quite conscious about it. We know that it's going to pick up just as it normalizes, considerably more than now. Look, we would consider credit card normalizing to be closer to 3.5%.",Erika Najarian,"Jamie Dimon, Jeremy Barnum",2023Q2,25%,positive,0.739286,positive,0.769637
"Jeremy, you guys have put up a really strong ROTCE number of 22% for the quarter. And when you dive into your different segments, what really jumps out at us is the 40% ex-First Republic ROE in Consumer & Community Banking. I know you and Jamie have talked about your over-earning on credit. We get that. But in view of all of these fintechs and all of these other nonbank competitors that we're all supposed to pick away at everybody's market share, you guys have put up great numbers here. What's the drivers behind an ROE? Even when you take that credit over-earning out, what's driving this business' profitability at such high levels?","Yeah, Gerard. So I'd say a couple things there. So first, it's not just credit. It's also deposit margin, right? So when we talk about over-earning on NII, a disproportionate amount of that is coming out of the Consumer franchise for all of the reasons that we've talked about. But, I would also point out sometimes we don't like the word over-earning because right now, customers are happy and they're doing CDs. And the broader answer to your question about why we're able to be effectively really comes back to a decade, two decade long history of investing for the future and recognizing that there's a holistic value proposition here that includes branches, and the app, and all of the online services, and the entire suite of products and services that is around this enterprise which drives engagement and customer loyalty. And we're seeing some of the benefits of that now, although we're not complacent. The competition is still there. The fintechs are still there, and we know we need to continue investing to preserve the value. And it's also true that the particular circumstances of the current rate and credit environment mean that the earnings are a little bit above normal, but that core franchise is extremely robust.",Gerard Cassidy,Jeremy Barnum,2023Q3,22%,positive,0.633542,positive,0.628505
Management Commentary,7 billion and delivered an ROTCE of 22%.,Management Commentary,Jeremy Barnum,2023Q3,22%,neutral,1.0,neutral,1.0
Management Commentary,"At the same time, we emphasized throughout 2023 the extent to which we were over-earning, as indicated by an ROTCE that is 4% above our through-the-cycle target.",Management Commentary,Jeremy Barnum,2023Q4,15%,neutral,1.0,neutral,0.9775
Management Commentary,9 billion and delivered an ROTCE of 15%.,Management Commentary,Jeremy Barnum,2023Q4,15%,neutral,1.0,neutral,1.0
Management Commentary,And we delivered an ROTCE of 21%.,Management Commentary,Jeremy Barnum,2023Q4,15%,neutral,1.0,neutral,1.0
Management Commentary,5 billion and delivered an ROTCE of 21%.,Management Commentary,Jeremy Barnum,2024Q1,21%,neutral,1.0,neutral,1.0
Management Commentary,"12 on revenue of $51 billion, with an ROTCE of 28%.",Management Commentary,Jeremy Barnum,2024Q2,28%,neutral,1.0,neutral,1.0
Management Commentary,"40, and an ROTCE of 20%.",Management Commentary,Jeremy Barnum,2024Q2,28%,neutral,1.0,neutral,1.0
"Your 17% through the cycle ROTCE expectation, what is the CET1 ratio that you assume for that?","I mean, we would generally assume requirements plus a reasonable buffer, which, depending on the shape of rules, could be a little bit smaller or a little bit bigger and no small part is a function of the volatility of those rules, which goes back to my prior comments on SCB and CCAR. But obviously, as you well know, what actually matters is less the ratio and more the dollars and at this point, the dollars are very much a function of where rules land and where the RWA lands and obviously, things like GSIB recalibration and so on. So, we've done a bunch of scenario analysis along the lines of what I did at Investor Day that informs those numbers. But that is obviously one big element of uncertainty behind that 17%, which is why at Investor Day when we talked about it, both Daniel and I were quite specific about saying that we thought 17% was still achievable, assuming a reasonable outcome on the Basel III Endgame.",Mike Mayo,Jeremy Barnum,2024Q2,28%,neutral,1.0,positive,0.503849
"Good morning. I was just wondering if you can elaborate on essentially the math behind the ROTCE being too high at 20% and more normalized at 17%. Obviously, you've pointed to overearning on NII. And I guess, the question is, is that all of it to go from 20% to 17%? And if so, is that all consumer deposit costs or are there a few other components that you could help frame for us?","Sure. Good question, Matt. I mean, I guess, the way I think about it is a couple of things, like our returns tend to be a bit seasonal, right? So, if you kind of build yourself out a full-year forecast and make reasonable, just based on your own or analyst consensus or whatever and you think about fourth quarter, like better look at this on a full-year basis when you think about the returns than the quarterly numbers and you obviously have to strip out kind of the one-time items. And so, if you do that, like whatever you get for this year, is still clearly a number that's higher than the 17%. So, yeah, one source of headwinds is normalization of the NII, primarily as a result of expected higher deposit costs. That's – we've talked about that. Part of it is also the yield curve effects. Some cuts will come into the curve at some point. And in the normal course, if you kind of do a very, very, very simple mental model of the company, you would have, like revenues growing at some organic GDP, like rate maybe higher, and expenses growing at a similar slightly lower rate producing a sort of relatively stable overhead ratio. But even if the amount of NII normalization winds up being less than we might have thought at some prior point, you still have some background – you still have some normalization of the overhead ratio that needs to happen. So, as much as our discipline on expense management is as tight as it always has been there, inflation is still non-zero. There are still investments that we're executing. There's still higher expense to come in a slightly flatter revenue environment as a result of, in part, the normalization of NII. And then, the final point is that whatever winds up being the answer on Basel III Endgame and all the other pieces, you have to assume some amount of expansion of the denominator, at least based on what we know so far. So, of course, any of those pieces could be wrong, but that's kind of how we get to our 17%. And if you look at the various scenarios that we showed on the last page of my Investor Day presentation, it illustrates those dynamics and also how much the range could actually vary as a function of the economic environment and other factors.",Matt O'Connor,Jeremy Barnum,2024Q2,28%,positive,0.626111,positive,0.626063
